JFOC02|TIA.TEST.TOOL.INVENTRY.IMS.PSBSOR(APR1930#)           | APR1930 | TISSECS@|         | SEC1S   | G       |
JFOC02|TIA.TEST.TOOL.INVENTRY.IMS.PSBSOR(APR1930#)           | APR1930 | TISSECS@|         | SEC3    | G       |
JFOC02|TIA.TEST.TOOL.INVENTRY.IMS.PSBSOR(APR1930#)           | APR1930 | TISSECS@|         | SEC48M  | G       |
JFOC02|TIA.TEST.TOOL.INVENTRY.IMS.PSBSOR(GPSE300#)           | GPSE300 | TIABALN@|         | BALN    | A       |
JFOC02|TIA.TEST.TOOL.INVENTRY.IMS.PSBSOR(NRAB280#)           | NRAB280 | CAPACC@ | GOT     | TAS     |         |
JFOC03|TIA.TEST.TOOL.INVENTRY.IMS.PSBSOR(NRAB280#)           | NRAB280 | TAXACCT@| GOT     | TAXGEN  |         |
JFOC03|TIA.TEST.TOOL.INVENTRY.IMS.PSBSOR(NRAB280#)           | NRAB280 | TAXACCT@| GOT     | ENTITY  |         |
JFOC03|TIA.TEST.TOOL.INVENTRY.IMS.PSBSOR(TAXB906#)           | TAXB906 | HTFHIST@| GOT     | HISENT  |         |
JFOC03|TIA.TEST.TOOL.INVENTRY.IMS.PSBSOR(TAXB906#)           | TAXB906 | HTFHIST@| GOT     | HISBLK1 |         |
JFOC03|TIA.TEST.TOOL.INVENTRY.IMS.PSBSOR(ACMU350#)           | ACMU350 | ACMINVP@| G       | ACMINV  | G       |
JFOC03|TIA.TEST.TOOL.INVENTRY.IMS.PSBSOR(ACMU350#)           | ACMU350 | ACMINVP@| G       | ACMOFST | G       |
JFOC03|TIA.TEST.TOOL.INVENTRY.IMS.PSBSOR(ACMU350#)           | ACMU350 | CAPACC@ | G       | TAS     | G       |
JFOC03|TIA.TEST.TOOL.INVENTRY.IMS.PSBSOR(ACMU350#)           | ACMU350 | TISSECS@| GP      | SEC     | GP      |
JFOC03|TIA.TEST.TOOL.INVENTRY.IMS.PSBSOR(ACMU350#)           | ACMU350 | TISSECS@| GP      | SEC1    | GP      |

